Time,result,table,_start,_stop,_time,_measurement,dst_ip,protocol,src_ip,ack_rtt_ms,avg_latency_ms,bandwidth_mbps,jitter_ms,packet_length_bytes,retransmission,session_duration_sec,tcp_dst_port,tcp_src_port,time_delta_ms,total_data_mb,ttl,window_size,tcp_flags
2024-12-07 04:16:52.386491+00:00,_result,0,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:52.386491+00:00,network_metrics,0,ARP,0,17.85,104.87,0.0,163.57,0.0,0,0.2,60330.0,443.0,344.55,4.81,0.4803149606299213,0.019087136929460596,
2024-12-07 04:17:05.138040+00:00,_result,0,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:17:05.138040+00:00,network_metrics,0,ARP,0,388.04,16.41,0.0,,0.0,0,0.0,60330.0,443.0,16.41,0.0,0.0,0.0,
2024-12-07 04:17:07.476648+00:00,_result,0,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:17:07.476648+00:00,network_metrics,0,ARP,0,219.38,272.13,0.0,,0.0,0,0.0,60330.0,443.0,272.13,0.0,0.4803149606299213,0.0,
2024-12-07 04:16:21.779580+00:00,_result,1,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:21.779580+00:00,network_metrics,0,MDNS,0,48.94,133.35,0.0,240.22,0.06,0,30.01,443.0,443.0,0.0,23.81,0.24015748031496065,0.007827878233005264,
2024-12-07 04:16:42.492420+00:00,_result,1,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:42.492420+00:00,network_metrics,0,MDNS,0,8.5,71.48,0.0,195.39,0.01,0,20.58,443.0,443.0,0.0,13.22,0.24015748031496065,0.007985678704856787,
2024-12-07 04:17:09.725060+00:00,_result,1,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:17:09.725060+00:00,network_metrics,0,MDNS,0,2.85,23.69,0.0,41.02,0.04,0,0.2,60330.0,443.0,0.0,0.44,0.0,0.3007246376811594,
2024-12-07 04:16:44.362863+00:00,_result,2,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:44.362863+00:00,network_metrics,1249757372,TCP,3232235765,8.5,4.38,0.0,,0.0,0,0.0,5228.0,55510.0,4.38,0.02,0.5,0.007938978829389787,0.6363636363636364
2024-12-07 04:16:44.489890+00:00,_result,3,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:44.489890+00:00,network_metrics,1750514976,TCP,3232235765,8.5,5.87,0.0,35.73,0.0,0,13.92,443.0,60180.0,27.88,14.79,0.5,1.0,0.0
2024-12-07 04:17:09.942508+00:00,_result,4,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:17:09.942508+00:00,network_metrics,1750514976,TLSv1.3,3232235765,2.85,57.37,0.0,223.16,0.07,0,0.05,443.0,60329.0,894.22,3.05,0.34196891191709844,1.0,1.0
2024-12-07 04:16:24.200669+00:00,_result,5,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:24.200669+00:00,network_metrics,1757934026,TCP,3232235765,901.38,39.1,0.0,,0.0,0,0.0,443.0,51148.0,39.1,0.02,0.5,0.007782101167315175,0.6086956521739131
2024-12-07 04:16:24.227510+00:00,_result,6,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:24.227510+00:00,network_metrics,1964173512,TCP,3232235765,48.94,48.01,0.0,177.19,0.0,0,1.32,443.0,59830.0,1.25,6.48,0.5,0.9802395666437781,0.0
2024-12-07 04:16:23.999813+00:00,_result,7,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:23.999813+00:00,network_metrics,225126926,TLSv1.2,3232235765,192.23,11.0,0.0,12.8,0.01,0,15.02,443.0,58475.0,18.1,0.45,0.5,0.007736324101625086,0.9565217391304348
2024-12-07 04:16:43.850952+00:00,_result,7,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:43.850952+00:00,network_metrics,225126926,TLSv1.2,3232235765,72.48,26.68,0.0,35.1,0.01,0,15.02,443.0,58475.0,24.33,10.91,0.5,0.007985678704856787,0.9999999999999999
2024-12-07 04:16:24.254357+00:00,_result,8,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:24.254357+00:00,network_metrics,2398795406,TCP,3232235765,48.94,14.3,0.0,33.56,0.0,0,24.22,443.0,59686.0,0.3,16.41,0.5,0.007827878233005264,0.6521739130434783
2024-12-07 04:16:44.582528+00:00,_result,8,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:44.582528+00:00,network_metrics,2398795406,TCP,3232235765,8.5,6.45,0.0,12.62,0.0,0,0.0,443.0,60066.0,25.37,0.07,0.5,0.007923412204234122,0.6818181818181818
2024-12-07 04:16:44.627866+00:00,_result,9,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:44.627866+00:00,network_metrics,2398798698,TCP,3232235765,8.5,1.94,0.0,3.28,0.0,0,0.13,443.0,60325.0,8.53,4.24,0.5,1.0,0.0
2024-12-07 04:16:44.778941+00:00,_result,10,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:44.778941+00:00,network_metrics,2398817468,TCP,3232235765,8.5,23.23,0.0,,0.0,0,0.0,5228.0,55514.0,23.23,0.02,0.5,0.007938978829389787,0.6363636363636364
2024-12-07 04:16:24.276889+00:00,_result,11,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:24.276889+00:00,network_metrics,2562926156,TCP,3232235765,48.94,10.36,0.0,23.04,0.0,0,15.55,80.0,59885.0,5.89,4.42,0.5,0.9802395666437781,0.0
2024-12-07 04:16:44.818156+00:00,_result,11,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:44.818156+00:00,network_metrics,2562926156,TCP,3232235765,8.5,105.57,0.0,150.06,0.0,0,11.34,80.0,59886.0,3.27,0.12,0.5,0.007938978829389787,0.6363636363636364
