Time,result,table,_start,_stop,_time,_measurement,dst_ip,protocol,src_ip,ack_rtt_ms,avg_latency_ms,bandwidth_mbps,jitter_ms,packet_length_bytes,retransmission,session_duration_sec,tcp_dst_port,tcp_src_port,time_delta_ms,total_data_mb,ttl,window_size,tcp_flags
2024-12-07 04:15:14.574004+00:00,_result,0,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:14.574004+00:00,network_metrics,0,ARP,0,45.9,52.12,0.0,100.79,0.0,0,33.28,443.0,443.0,140.31,31.45,0.2401574803149606,0.0042652552926525,
2024-12-07 04:14:42.958902+00:00,_result,1,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:42.958902+00:00,network_metrics,0,MDNS,0,38.2,83.89,0.0,173.56,0.0,0,27.13,443.0,443.0,0.0,3.28,0.2401574803149606,0.0052338445105668,
2024-12-07 04:14:44.240295+00:00,_result,2,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:44.240295+00:00,network_metrics,1757934026,TCP,3232235765,795.87,43.31,0.0,,0.0,0,0.0,443.0,51148.0,43.31,0.01,0.5,0.0077821011673151,0.6363636363636364
2024-12-07 04:15:16.702102+00:00,_result,3,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.702102+00:00,network_metrics,225117531,TCP,3232235765,45.9,101.93,0.0,144.0,0.0,0,0.0,443.0,57683.0,203.76,0.06,0.5,0.0158779576587795,0.6818181818181818
2024-12-07 04:14:43.929005+00:00,_result,4,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.929005+00:00,network_metrics,225126926,TLSv1.2,3232235765,206.67,10.64,0.0,14.73,0.0,0,14.99,443.0,58475.0,11.27,3.57,0.5,0.0077821011673151,1.0
2024-12-07 04:15:16.738755+00:00,_result,4,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.738755+00:00,network_metrics,225126926,TLSv1.2,3232235765,50.12,2.15,0.0,2.22,0.01,0,15.0,443.0,58475.0,3.09,0.53,0.5,0.0079234122042341,1.0
2024-12-07 04:14:44.274911+00:00,_result,5,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:44.274911+00:00,network_metrics,2398795406,TCP,3232235765,38.2,0.61,0.0,0.79,0.0,0,6.69,443.0,58561.0,3.45,12.14,0.5,0.980239566643778,0.0
2024-12-07 04:14:44.304775+00:00,_result,6,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:44.304775+00:00,network_metrics,2398795747,QUIC,3232235765,38.2,24.17,0.0,62.46,0.06,0,5.45,443.0,443.0,1.87,50.14,0.5,0.0052338445105668,0.0
2024-12-07 04:14:44.339418+00:00,_result,7,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:44.339418+00:00,network_metrics,2398799012,TLSv1.2,3232235765,38.2,97.84,0.0,69.93,0.0,0,0.06,443.0,57225.0,147.29,0.03,0.5,0.0078126192111085,1.0
2024-12-07 04:14:44.373025+00:00,_result,8,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:44.373025+00:00,network_metrics,2540028389,TLSv1.2,3232235765,38.2,6.81,0.0,9.5,0.0,0,0.08,443.0,57254.0,0.09,0.03,0.5,0.0078126192111085,1.0
